Thu Feb 13 05:00:00 +0000 2014, 4495694, 1334030, 2549311, 757995, 571387, 629412
Fri May 16 04:00:00 +0000 2014, 4218056, 1384690, 2454119, 743531, 642332, 707622
Sat Apr 19 04:00:00 +0000 2014, 4378662, 1392349, 2541899, 687011, 652589, 684726
Tue Jun 17 04:00:00 +0000 2014, 4473075, 1471638, 2589005, 784285, 694594, 685957
Tue Feb 18 05:00:00 +0000 2014, 4430434, 1378533, 2547385, 765360, 556684, 607612
Wed May 21 04:00:00 +0000 2014, 4301375, 1381653, 2497980, 763248, 642329, 670675
Sun Jun 22 04:00:00 +0000 2014, 4523427, 1511553, 2658797, 766504, 702035, 659774
Sun Feb 23 05:00:00 +0000 2014, 4518820, 1406117, 2616592, 686739, 598984, 627575
Mon May 26 04:00:00 +0000 2014, 4463216, 1475372, 2613665, 765034, 699465, 670858
Fri Nov 23 05:00:00 +0000 2012, 2, 0, 1, 1, 0, 2
Sun Oct 23 04:00:00 +0000 2011, 1, 0, 0, 0, 0, 1
Fri Jun 27 04:00:00 +0000 2014, 4322562, 1420029, 2554448, 789580, 682471, 667113
Tue Dec 25 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Fri Feb 28 05:00:00 +0000 2014, 4233661, 1259964, 2390295, 713885, 533092, 656284
Wed Mar 27 04:00:00 +0000 2013, 2, 0, 0, 0, 0, 1
Sat May 31 04:00:00 +0000 2014, 4273113, 1381916, 2493919, 686250, 674111, 616280
Tue Jul 29 04:00:00 +0000 2014, 4603558, 1605036, 2730599, 908613, 772914, 770234
Wed Jul 2 04:00:00 +0000 2014, 4472739, 1471043, 2657868, 803492, 702965, 716740
Sun Dec 30 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Mon Apr 1 04:00:00 +0000 2013, 4719289, 1068611, 2687823, 535889, 235869, 586129
Thu Jun 5 04:00:00 +0000 2014, 4423665, 1436961, 2601026, 776532, 676956, 707148
